kode_provinsi,ibukota_provinsi,kabupaten_kota_tujuan,tarif_sumber
"11","Banda Aceh","Kab. Aceh Barat","275000"
"11","Banda Aceh","Kab. Aceh Barat Daya","298000"
"11","Banda Aceh","Kab. Aceh Besar","183000"
"11","Banda Aceh","Kab. Aceh Jaya","238000"
"11","Banda Aceh","Kab. Aceh Selatan","325000"
"11","Banda Aceh","Kab. Aceh Singkil","420000"
"11","Banda Aceh","Kab. Aceh Tamiang","315000"
"11","Banda Aceh","Kab. Aceh Tengah","293000"
"11","Banda Aceh","Kab. Aceh Tenggara","460000"
"11","Banda Aceh","Kab. Aceh Timur","289000"
"11","Banda Aceh","Kab. Aceh Utara","270000"
"11","Banda Aceh","Kab. Bener Meriah","278000"
"11","Banda Aceh","Kab. Bireuen","220000"
"11","Banda Aceh","Kab. Gayo Lues","370000"
"11","Banda Aceh","Kab. Nagan Raya","275000"
"11","Banda Aceh","Kab. Pidie","190000"
"11","Banda Aceh","Kab. Pidie Jaya","205000"
"11","Banda Aceh","Kota Langsa","301000"
"11","Banda Aceh","Kota Lhokseumawe","240000"
"11","Banda Aceh","Kota Subulussalam","400000"
"12","Medan","Kab. Asahan","259000"
"12","Medan","Kab. Batubara","225000"
"12","Medan","Kab. Dairi","270000"
"12","Medan","Kab. Deli Serdang","186000"
"12","Medan","Kab. Humbang Hasundutan","300000"
"12","Medan","Kab. Karo","200000"
"12","Medan","Kab. Labuhan Batu","287000"
"12","Medan","Kab. Labuhan Batu Selatan","360000"
"12","Medan","Kab. Labuhan Batu Utara","300000"
"12","Medan","Kab. Langkat","186000"
"12","Medan","Kab. Mandailing Natal","420000"
"12","Medan","Kab. Padang Lawas","420000"
"12","Medan","Kab. Padang Lawas Utara","420000"
"12","Medan","Kab. Pakpak Bharat","300000"
"12","Medan","Kab. Samosir","330000"
"12","Medan","Kab. Serdang Bedagai","200000"
"12","Medan","Kab. Simalungun","264000"
"12","Medan","Kab. Tapanuli Selatan","328000"
"12","Medan","Kab. Tapanuli Tengah","345000"
"12","Medan","Kab. Tapanuli Utara","330000"
"12","Medan","Kab. Toba Samosir","300000"
"12","Medan","Kota Binjai","180000"
"12","Medan","Kota Pematang Siantar","225000"
"12","Medan","Kota Sibolga","345000"
"12","Medan","Kota Tanjung Balai","285000"
"12","Medan","Kota Tebing Tinggi","203000"
"14","Pekanbaru","Kab. Indragiri Hilir","380000"
"14","Pekanbaru","Kab. Indragiri Hulu","315000"
"14","Pekanbaru","Kab. Kampar","200000"
"14","Pekanbaru","Kab. Kuantan Singingi","300000"
"14","Pekanbaru","Kab. Pelalawan","225000"
"14","Pekanbaru","Kab. Rokan Hilir","350000"
"14","Pekanbaru","Kab. Rokan Hulu","322000"
