source_number,nama_provinsi,tarif_sumber
1,ACEH,123000
2,SUMATRA UTARA,278000
3,R I A U,99000
4,KEPULAUAN RIAU,159000
5,J A M B I,133000
6,SUMATRA BARAT,171000
7,SUMATRA SELATAN,162000
8,LAMPUNG,162000
9,BENGKULU,106000
10,BANGKA BELITUNG,94000
11,B A N T E N,300000
12,JAWA BARAT,180000
13,D.K.I. JAKARTA,250000
14,JAWA TENGAH,105000
15,D.I. YOGYAKARTA,258000
16,JAWA TIMUR,225000
17,B A L I,219000
18,NUSA TENGGARA BARAT,224000
19,NUSA TENGGARA TIMUR,105000
20,KALIMANTAN BARAT,165000
21,KALIMANTAN TENGAH,130000
22,KALIMANTAN SELATAN,174000
23,KALIMANTAN TIMUR,300000
24,KALIMANTAN UTARA,211000
25,SULAWESI UTARA,134000
26,GORONTALO,256000
27,SULAWESI BARAT,283000
28,SULAWESI SELATAN,181000
29,SULAWESI TENGAH,149000
30,SULAWESI TENGGARA,154000
31,MALUKU,279000
32,MALUKU UTARA,208000
33,P A P U A,462000
34,PAPUA BARAT,228000
